Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.195.54-192.168.8.100-443-61525-6,192.168.8.100,61525,157.240.195.54,443,6,28/04/2023 07:10:09 pm,4735804,6,5,124.0,111.0,50.0,0.0,20.666666666666668,23.166067138525406,52.0,0.0,22.2,22.47665455533808,49.62198604503058,2.3227312616822826,473580.4000000001,987242.2964269039,3058558.0,567.0,3368258.0,673651.6,1333776.2268796442,3058558.0,13615.0,1623734.0,405933.5,650499.8500730034,1380404.0,36422.0,0,1,0,0,120,100,1.2669443245539722,1.0557869371283102,0.0,52.0,21.666666666666668,20.72036035722674,429.33333333333337,0,0,0,1,1,0,0,0,0.0,23.636363636363637,20.666666666666668,22.2,0,0,0,0,0,0,6,124,5,111,-1,1010,3,0,0,0,0,0,0,0,0,0,No Label
157.240.195.54-192.168.8.100-443-61525-6,157.240.195.54,443,192.168.8.100,61525,6,28/04/2023 07:10:14 pm,44940,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.75567423230974,22470.0,31777.378746523445,44940.0,0.0,44940.0,44940.0,0.0,44940.0,44940.0,0,0,0,0,0,0,0,0,0,40,32,44.50378282153983,22.251891410769915,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,1010,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.200-63054-443-6,192.168.8.100,63054,204.79.197.200,443,6,28/04/2023 07:10:18 pm,8253300,9,13,675.0,7447.0,517.0,0.0,75.0,173.79154179648677,1400.0,0.0,572.8461538461539,686.6000590049794,984.0912120000486,2.665600426496068,393014.28571428574,1564801.4100916174,7207040.0,0.0,7828970.0,978621.25,2517924.6901586433,7207040.0,1370.0,1046201.0,87183.41666666667,129711.59736504838,424055.0,0.0,0,0,0,0,192,296,1.0904729017483916,1.5751275247476768,0.0,1400.0,353.13043478260875,577.8938487259204,333961.30039525696,0,1,0,0,0,0,0,0,1.0,369.1818181818182,75.0,572.8461538461538,0,0,0,0,0,0,9,675,13,7447,-1,16381,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-68.219.88.97-63053-443-6,192.168.8.100,63053,68.219.88.97,443,6,28/04/2023 07:10:18 pm,8276000,7,9,610.0,6392.0,517.0,0.0,87.14285714285715,192.69183391400597,1400.0,0.0,710.2222222222222,685.4930301939214,846.0608989850169,1.9333011116481393,551733.3333333334,1852658.4622993083,7227099.0,0.0,7828843.0,1304807.1666666667,2905827.6059814985,7227099.0,1414.0,1048778.0,131097.25,190097.94246932666,447067.0,0.0,0,0,0,0,140,204,0.8458192363460609,1.0874818753020783,0.0,1400.0,411.8823529411764,596.3893319754451,355680.2352941176,0,1,0,0,0,0,0,0,1.0,437.625,87.14285714285714,710.2222222222222,0,0,0,0,0,0,7,610,9,6392,-1,2048,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.203-63056-443-6,192.168.8.100,63056,204.79.197.203,443,6,28/04/2023 07:10:19 pm,7314736,7,11,675.0,6121.0,517.0,0.0,96.42857142857143,194.5780538694409,1400.0,0.0,556.4545454545455,675.8525525048142,929.0834283014452,2.4607860078613912,430278.5882352941,1672547.3822443737,6918478.0,0.0,7209890.0,1201648.3333333333,2801459.851916616,6918478.0,1279.0,396214.0,39621.4,54722.381381336505,149847.0,0.0,0,0,0,0,140,244,0.956972336390541,1.50381367147085,0.0,1400.0,357.6842105263158,569.3688564865856,324180.8947368421,0,1,0,0,0,0,0,0,1.0,377.55555555555554,96.42857142857143,556.4545454545455,0,0,0,0,0,0,7,675,11,6121,-1,16381,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-108.157.98.79-63051-443-6,192.168.8.100,63051,108.157.98.79,443,6,28/04/2023 07:10:18 pm,8303145,7,11,581.0,6234.0,517.0,0.0,83.00000000000001,192.85659611915446,1400.0,0.0,566.7272727272727,671.8376427246527,820.7733334778568,2.1678532652386533,488420.29411764705,1760405.847619121,7301264.0,0.0,7830130.0,1305021.6666666665,2939865.067444468,7301264.0,610.0,1001792.0,100179.2,161246.4157243675,472797.0,0.0,0,0,0,0,140,244,0.8430540475928097,1.3247992176458436,0.0,1400.0,358.6842105263158,571.2358972372076,326310.4502923976,0,1,0,0,0,0,0,0,1.0,378.6111111111111,83.0,566.7272727272727,0,0,0,0,0,0,7,581,11,6234,-1,131,2,0,0,0,0,0,0,0,0,0,No Label
131.253.33.200-192.168.8.100-443-63055-6,192.168.8.100,63055,131.253.33.200,443,6,28/04/2023 07:10:18 pm,8231431,9,13,675.0,7447.0,517.0,0.0,75.0,173.79154179648677,1400.0,0.0,572.8461538461539,686.6000590049794,986.7057137452771,2.6726823076084822,391972.9047619048,1538392.9395561107,7086007.0,0.0,7733320.0,966665.0,2473892.5954272375,7086007.0,548.0,1145395.0,95449.58333333333,147895.8662139488,498014.0,0.0,0,0,0,0,192,296,1.093370034930743,1.5793122726777395,0.0,1400.0,353.13043478260875,577.8938487259204,333961.30039525696,0,1,0,0,0,0,0,0,1.0,369.1818181818182,75.0,572.8461538461538,0,0,0,0,0,0,9,675,13,7447,-1,16381,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.84.8-63052-443-6,192.168.8.100,63052,96.16.84.8,443,6,28/04/2023 07:10:18 pm,8292506,6,8,643.0,3854.0,517.0,0.0,107.16666666666666,207.00571650721793,1400.0,0.0,481.74999999999994,626.4197018430558,542.2968641807435,1.6882713138826793,637885.0769230769,1987214.2014523523,7234596.0,62.0,7830118.0,1566023.6,3172717.222339914,7234596.0,1303.0,1017456.0,145350.85714285713,178643.86761975026,462096.0,382.0,0,0,0,0,120,184,0.7235448488068625,0.9647264650758167,0.0,1400.0,299.8,502.7382448721629,252745.74285714282,0,1,0,0,0,0,0,0,1.0,321.2142857142857,107.16666666666667,481.75,0,0,0,0,0,0,6,643,8,3854,-1,501,2,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-204.79.197.203-63048-443-6,192.168.8.100,63048,204.79.197.203,443,6,28/04/2023 07:10:17 pm,8721217,37,63,4671.0,54173.0,1400.0,0.0,126.24324324324321,342.5820587347898,1400.0,0.0,859.8888888888889,605.6303330897676,6747.223466633155,11.466289624487041,88093.101010101,590409.9153063669,5593596.0,0.0,8637960.0,239943.33333333334,969307.9355098963,5593596.0,0.0,3086981.0,49790.016129032265,250621.93848147622,1983250.0,0.0,0,0,0,0,740,1284,4.242527161060206,7.223762463426836,0.0,1400.0,582.6138613861383,631.3083552480044,398550.2394059405,0,1,0,0,0,0,0,0,1.0,588.44,126.24324324324324,859.8888888888889,0,0,0,0,0,0,37,4671,63,54173,-1,16379,8,0,0,0,0,0,0,0,0,0,No Label
192.168.8.100-96.16.88.4-63049-443-6,192.168.8.100,63049,96.16.88.4,443,6,28/04/2023 07:10:18 pm,8534229,27,39,1818.0,20104.0,620.0,0.0,67.33333333333334,150.2446722465111,1400.0,0.0,515.4871794871794,541.7251134251758,2568.7147602905898,7.733563277948131,131295.8307692308,605054.9214470526,4575307.0,0.0,8451378.0,325053.0,947640.9992573347,4645335.0,80.0,3958922.0,104182.15789473684,315762.0218974809,1897668.0,0.0,0,0,0,0,576,816,3.163730431887872,4.569832846060259,0.0,1400.0,327.19402985074623,477.5512106064606,228055.1587516961,0,1,0,0,0,0,0,0,1.0,332.1515151515151,67.33333333333333,515.4871794871794,0,0,0,0,0,0,27,1818,39,20104,-1,501,11,0,0,0,0,0,0,0,0,0,No Label
